Date;Open;Prev_Close;Chg %;
2016-05-30;17580.85;17511.8;0.39;
2016-06-06;17710.45;17680.8;0.17;
2016-06-13;17620.55;17828.6;1.18;
2016-06-20;17425.8;17696.05;1.55;
2016-06-27;17346.3;17426.05;0.46;
2016-07-04;18091.75;17985.65;0.59;
2016-07-11;18268.15;18016.25;1.38;
2016-07-18;18998.3;18953.65;0.24;
2016-07-25;18594.95;18690.4;0.51;
2016-08-01;18896.5;18953.15;0.3;
2016-08-08;18986.75;18925.95;0.32;
2016-08-16;19029.1;18963.7;0.34;
2016-08-22;19432.6;19414.7;0.09;
2016-08-29;19174.45;19195.75;0.11;
2016-09-06;19990.95;19883.2;0.54;
2016-09-12;19861.45;20245.3;1.93;
2016-09-14;19757.05;19790.6;0.17;
2016-09-19;19892.2;19855.45;0.18;
2016-09-26;19792.2;19901.8;0.55;
2016-10-03;19395.55;19285.7;0.57;
2016-10-10;19489.5;19400.1;0.46;
2016-10-17;19136.3;19020.15;0.61;
2016-10-24;19763.85;19710.9;0.27;
2016-10-30;19657.8;19555.95;0.52;
2016-11-01;19578.6;19523.55;0.28;
2016-11-07;19317.85;19058.1;1.34;
2016-11-15;19808.35;19738.8;0.35;
2016-11-21;19063.8;18959.05;0.55;
2016-11-28;18237.2;18507.3;1.48;
2016-12-05;18245.0;18247.65;0.01;
2016-12-12;18616.05;18695.8;0.43;
2016-12-19;18258.1;18312.8;0.3;
2016-12-26;17825.5;17884.0;0.33;
2017-01-02;18242.3;18177.2;0.36;
2017-01-09;18314.25;18264.0;0.27;
2017-01-16;18899.7;18912.1;0.07;
2017-01-23;18762.0;18820.8;0.31;
2017-01-27;19588.4;19473.2;0.59;
2017-01-30;19718.8;19708.3;0.05;
2017-02-06;20307.15;20196.8;0.54;
2017-02-13;20273.65;20213.9;0.29;
2017-02-20;20494.85;20551.35;0.28;
2017-02-27;20853.45;20876.65;0.11;
2017-03-06;20548.95;20495.6;0.26;
2017-03-14;21189.85;20727.55;2.18;
2017-03-20;21202.55;21175.05;0.13;
2017-03-27;21178.1;21122.55;0.26;
2017-04-03;21539.2;21444.15;0.44;
2017-04-05;21602.2;21547.75;0.25;
2017-04-10;21492.05;21431.15;0.28;
2017-04-17;21700.5;21686.6;0.06;
2017-04-24;21591.9;21551.45;0.19;
2017-05-02;22412.55;22358.25;0.24;
2017-05-08;22678.45;22604.95;0.32;
2017-05-15;22735.85;22671.7;0.28;
2017-05-22;22874.8;22769.8;0.46;
2017-05-29;23310.6;23362.2;0.22;
2017-06-05;23397.4;23375.9;0.09;
2017-06-12;23610.15;23690.9;0.34;
2017-06-19;23571.35;23502.75;0.29;
2017-06-27;23636.95;23542.75;0.4;
2017-07-03;23240.35;23211.2;0.13;
2017-07-10;23583.25;23449.15;0.57;
2017-07-17;24011.4;23937.7;0.31;
2017-07-24;24307.7;24257.05;0.21;
2017-07-31;24880.6;24811.3;0.28;
2017-08-07;24854.15;24827.45;0.11;
2017-08-14;24051.05;23985.75;0.27;
2017-08-16;24188.75;24115.75;0.3;
2017-08-21;24140.55;24074.45;0.27;
2017-08-28;24351.25;24274.2;0.32;
2017-09-04;24456.3;24434.0;0.09;
2017-09-11;24468.5;24370.8;0.4;
2017-09-18;24948.15;24844.3;0.42;
2017-09-25;24361.55;24368.85;0.03;
2017-10-03;24200.6;24053.0;0.61;
2017-10-09;24209.55;24190.0;0.08;
2017-10-16;24815.4;24689.15;0.51;
2017-10-23;24085.45;24009.75;0.31;
2017-10-30;24873.65;24839.55;0.14;
2017-11-06;25569.0;25650.7;0.32;
2017-11-13;25570.25;25498.95;0.28;
2017-11-20;25733.7;25728.4;0.02;
2017-11-27;25693.05;25779.65;0.34;
2017-12-04;25295.05;25191.95;0.41;
