"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2007","EQ","206.55","211.90","206.55","206.55","210.60","209.45","209.65","214.70","130.00",4948360,"1,037,418,840.35",
"28-Dec-2007","EQ","200.00","207.25","199.20","203.55","205.90","206.55","205.70","214.70","130.00",7423761,"1,527,080,536.35",
"27-Dec-2007","EQ","200.10","206.00","200.05","199.85","203.25","203.55","203.69","214.70","130.00",13274349,"2,703,873,084.00",
"26-Dec-2007","EQ","199.10","200.85","197.35","198.05","200.20","199.85","199.79","214.70","130.00",3515550,"702,373,442.85",
"24-Dec-2007","EQ","203.80","203.80","193.25","196.50","198.05","198.05","199.34","214.70","130.00",5663992,"1,129,036,921.95",
"20-Dec-2007","EQ","200.00","201.90","195.55","199.70","196.40","196.50","197.85","214.70","130.00",3611923,"714,623,544.50",
"19-Dec-2007","EQ","201.05","204.50","193.50","197.55","200.00","199.70","200.35","214.70","130.00",4861010,"973,902,856.80",
"18-Dec-2007","EQ","200.00","210.00","192.05","193.50","200.00","197.55","196.20","214.70","130.00",4123846,"809,078,276.15",
"17-Dec-2007","EQ","200.90","207.00","190.25","200.70","195.10","193.50","201.72","214.70","130.00",7495405,"1,511,998,188.20",
"14-Dec-2007","EQ","198.50","203.90","195.30","196.35","200.25","200.70","201.77","214.70","130.00",9991238,"2,015,954,536.05",
"13-Dec-2007","EQ","190.00","202.50","190.00","189.60","197.80","196.35","198.19","214.70","130.00",9093340,"1,802,183,929.15",
"12-Dec-2007","EQ","186.50","190.55","184.40","187.50","189.55","189.60","186.40","214.70","130.00",7567984,"1,410,671,483.90",
"11-Dec-2007","EQ","197.80","197.80","185.10","186.70","188.00","187.50","188.38","214.70","130.00",2870416,"540,719,751.60",
"10-Dec-2007","EQ","191.20","191.90","185.35","188.15","187.00","186.70","187.05","214.70","130.00",2495391,"466,758,521.15",
"07-Dec-2007","EQ","193.10","194.70","184.70","193.10","188.50","188.15","188.54","214.70","130.00",5117404,"964,824,312.00",
"06-Dec-2007","EQ","192.70","196.95","191.25","192.70","193.00","193.10","194.55","214.70","130.00",3182652,"619,191,213.05",
"05-Dec-2007","EQ","193.00","194.00","188.15","192.25","192.95","192.70","190.92","214.70","130.00",4383140,"836,839,237.00",
