Date;Close;Chg %;
2000-01-27;1603.9;1732;7.4;
2000-02-24;1732;1549.5;11.78;
2000-03-30;1549.5;1416.9;9.36;
2000-04-27;1416.9;1247.65;13.57;
2000-05-25;1247.65;1492.35;16.4;
2000-06-29;1492.35;1338.05;11.53;
2000-07-27;1338.05;1394.1;4.02;
2000-08-31;1394.1;1266.4;10.08;
2000-09-28;1266.4;1186.3;6.75;
2000-10-26;1186.3;1268.15;6.45;
2000-11-30;1268.15;1248.95;1.54;
2000-12-28;1248.95;1370.1;8.84;
2001-01-25;1370.1;1355.1;1.11;
2001-02-22;1355.1;1195.1;13.39;
2001-03-29;1195.1;1143.75;4.49;
2001-04-26;1143.75;1167.9;2.07;
2001-05-31;1167.9;1094;6.76;
2001-06-28;1094;1053.4;3.85;
2001-07-26;1053.4;1064.15;1.01;
2001-08-30;1064.15;890;19.57;
2001-09-27;890;983.2;9.48;
2001-10-25;983.2;1067.15;7.87;
2001-11-29;1067.15;1020;4.62;
2001-12-27;1020;1075.4;5.15;
2002-01-31;1075.4;1142.05;5.84;
2002-02-28;1142.05;1129.55;1.11;
2002-03-28;1129.55;1094.3;3.22;
2002-04-25;1094.3;1032.15;6.02;
2002-05-30;1032.15;1048.55;1.56;
2002-06-27;1048.55;1001.55;4.69;
2002-07-25;1001.55;987.25;1.45;
2002-08-29;987.25;969.9;1.79;
2002-09-26;969.9;951.4;1.94;
2002-10-31;951.4;1049.7;9.36;
2002-11-28;1049.7;1094.8;4.12;
2002-12-26;1094.8;1034.6;5.82;
2003-01-30;1034.6;1052.95;1.74;
2003-02-27;1052.95;1002.7;5.01;
2003-03-27;1002.7;929.7;7.85;
2003-04-24;929.7;1002.6;7.27;
2003-05-29;1002.6;1116.35;10.19;
2003-06-26;1116.35;1185.85;5.86;
2003-07-31;1185.85;1341.05;11.57;
2003-08-28;1341.05;1357.2;1.19;
2003-09-25;1357.2;1516.85;10.53;
2003-10-30;1516.85;1598.35;5.1;
2003-11-27;1598.35;1808.7;11.63;
2003-12-24;1808.7;1843.6;1.89;
2004-01-29;1843.6;1765.8;4.41;
2004-02-26;1765.8;1704.45;3.6;
2004-03-25;1704.45;1808.95;5.78;
2004-04-29;1808.95;1586.4;14.03;
2004-05-27;1586.4;1470.75;7.86;
2004-06-24;1470.75;1618.7;9.14;
2004-07-29;1618.7;1610.75;0.49;
2004-08-26;1610.75;1745.5;7.72;
2004-09-30;1745.5;1800.1;3.03;
2004-10-28;1800.1;1901.05;5.31;
2004-11-25;1901.05;2059.8;7.71;
2004-12-30;2059.8;1955;5.36;
2005-01-27;1955;2055.3;4.88;
2005-02-24;2055.3;2035.65;0.97;
2005-03-31;2035.65;1941.3;4.86;
2005-04-28;1941.3;2074.7;6.43;
2005-05-26;2074.7;2220.6;6.57;
2005-06-30;2220.6;2319.1;4.25;
2005-07-27;2319.1;2354.55;1.51;
2005-08-25;2354.55;2611.2;9.83;
2005-09-29;2611.2;2352.9;10.98;
2005-10-27;2352.9;2635;10.71;
2005-11-24;2635;2821.95;6.62;
2005-12-29;2821.95;2940.35;4.03;
2006-01-25;2940.35;3062.1;3.98;
2006-02-23;3062.1;3418.95;10.44;
2006-03-30;3418.95;3508.1;2.54;
2006-04-27;3508.1;3177.7;10.4;
2006-05-25;3177.7;2997.9;6;
2006-06-29;2997.9;3156.15;5.01;
2006-07-27;3156.15;3413.9;7.55;
2006-08-31;3413.9;3571.75;4.42;
2006-09-28;3571.75;3677.55;2.88;
2006-10-26;3677.55;3954.5;7;
2006-11-30;3954.5;3970.55;0.4;
2006-12-28;3970.55;4147.7;4.27;
2007-01-25;4147.7;4040;2.67;
2007-02-22;4040;3798.1;6.37;
2007-03-29;3798.1;4177.85;9.09;
2007-04-26;4177.85;4295.8;2.75;
2007-05-31;4295.8;4282;0.32;
2007-06-28;4282;4619.8;7.31;
2007-07-26;4619.8;4412.3;4.7;
2007-08-30;4412.3;5000.55;11.76;
2007-09-27;5000.55;5568.95;10.21;
2007-10-25;5568.95;5634.6;1.17;
2007-11-29;5634.6;6081.5;7.35;
2007-12-27;6081.5;5137.45;18.38;
2008-01-31;5137.45;5285.1;2.79;
2008-02-28;5285.1;4830.25;9.42;
2008-03-27;4830.25;4999.85;3.39;
2008-04-24;4999.85;4835.3;3.4;
2008-05-29;4835.3;4315.85;12.04;
2008-06-26;4315.85;4332.95;0.39;
2008-07-31;4332.95;4214;2.82;
2008-08-28;4214;4110.55;2.52;
